"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","GGEXP","ECOAFF","PC_GDP","A","1995",5.79525278816817,
"FRA","GGEXP","ECOAFF","PC_GDP","A","1996",5.57613158865608,
"FRA","GGEXP","ECOAFF","PC_GDP","A","1997",5.04031244367745,
"FRA","GGEXP","ECOAFF","PC_GDP","A","1998",4.84822797019889,
"FRA","GGEXP","ECOAFF","PC_GDP","A","1999",4.70185917334702,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2000",4.66912622541146,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2001",4.30093615914705,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2002",4.49865823082964,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2003",4.40568454852189,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2004",4.43533786888526,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2005",4.61434788394619,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2006",4.49757622618498,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2007",4.26886306506779,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2008",4.48920386673225,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2009",4.93477144961171,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2010",5.08768403975564,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2011",4.80803004709068,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2012",5.00626195660292,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2013",5.02194182947295,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2014",5.33565296671962,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2015",5.70129073812608,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2016",5.60198297740971,
"LUX","GGEXP","ECOAFF","PC_GDP","A","1995",5.65405740831299,
"LUX","GGEXP","ECOAFF","PC_GDP","A","1996",6.2589942003936,
"LUX","GGEXP","ECOAFF","PC_GDP","A","1997",5.25823710471784,
"LUX","GGEXP","ECOAFF","PC_GDP","A","1998",5.44809088873354,
"LUX","GGEXP","ECOAFF","PC_GDP","A","1999",4.99131722966082,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2000",5.1142535260528,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2001",3.91436487608409,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2002",5.83872035824601,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2003",6.27277063089325,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2004",6.08347234986733,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2005",5.50017581808689,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2006",4.88448965931441,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2007",4.60148453674131,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2008",4.51249418382499,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2009",5.41703265345408,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2010",5.16110732958778,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2011",4.73127939008234,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2012",4.86091172953812,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2013",5.16105958852084,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2014",5.20511308812733,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2015",5.36945787090945,
