"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","GGEXP","EDU","PC_GDP","A","1995",4.392843304951,
"GBR","GGEXP","EDU","PC_GDP","A","1996",4.22267530926511,
"GBR","GGEXP","EDU","PC_GDP","A","1997",4.1634306440888,
"GBR","GGEXP","EDU","PC_GDP","A","1998",4.14128594747175,
"GBR","GGEXP","EDU","PC_GDP","A","1999",4.34026599221458,
"GBR","GGEXP","EDU","PC_GDP","A","2000",4.62334567412775,
"GBR","GGEXP","EDU","PC_GDP","A","2001",5.04018352409108,
"GBR","GGEXP","EDU","PC_GDP","A","2002",5.51643509986847,
"GBR","GGEXP","EDU","PC_GDP","A","2003",5.58966071732408,
"GBR","GGEXP","EDU","PC_GDP","A","2004",5.53389790486985,
"GBR","GGEXP","EDU","PC_GDP","A","2005",5.59717962805481,
"GBR","GGEXP","EDU","PC_GDP","A","2006",5.7449270142206,
"GBR","GGEXP","EDU","PC_GDP","A","2007",5.74572380926431,
"GBR","GGEXP","EDU","PC_GDP","A","2008",5.95045183048951,
"GBR","GGEXP","EDU","PC_GDP","A","2009",6.43059875241752,
"GBR","GGEXP","EDU","PC_GDP","A","2010",6.47056377900377,
"GBR","GGEXP","EDU","PC_GDP","A","2011",5.93507265835069,
"GBR","GGEXP","EDU","PC_GDP","A","2012",5.64601275837058,
"GBR","GGEXP","EDU","PC_GDP","A","2013",5.06901820027513,
"GBR","GGEXP","EDU","PC_GDP","A","2014",5.02040074933782,
"GBR","GGEXP","EDU","PC_GDP","A","2015",4.83754158449109,
"GBR","GGEXP","EDU","PC_GDP","A","2016",4.64127372908378,
"SWE","GGEXP","EDU","PC_GDP","A","1995",6.97508231743898,
"SWE","GGEXP","EDU","PC_GDP","A","1996",6.86212652527788,
"SWE","GGEXP","EDU","PC_GDP","A","1997",6.99775809070744,
"SWE","GGEXP","EDU","PC_GDP","A","1998",7.23674315912452,
"SWE","GGEXP","EDU","PC_GDP","A","1999",7.25699710526245,
"SWE","GGEXP","EDU","PC_GDP","A","2000",6.47011920055723,
"SWE","GGEXP","EDU","PC_GDP","A","2001",6.78777949502246,
