"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","GGEXP","GRALPUBSER","PC_GDP","A","1990",7.69992720235454,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","1991",7.2317604525916,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","1992",7.68903517028354,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","1993",7.39194425472886,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","1994",7.14051846039442,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","1995",7.29204886183041,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","1996",7.04061541188916,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","1997",6.7432420109624,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","1998",6.3955358730304,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","1999",6.01022252806858,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2000",5.70193097975173,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2001",5.5115110173168,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2002",5.41833059834859,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2003",5.44769331411638,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2004",5.31447516433498,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2005",5.47276611714649,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2006",5.46647028324709,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2007",5.60538375224959,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2008",5.52933699727324,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2009",5.9109399233872,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2010",5.92155153587468,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2011",6.00751672613982,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2012",5.80321394868993,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2013",5.5458709954284,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2014",5.36254284796038,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2015",5.20843715098643,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2016",5.38234769033758,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","1995",9.30474849066085,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","1996",9.39156204352691,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","1997",8.72869425662142,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","1998",8.5427245217017,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","1999",8.4730590415784,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2000",8.2641359943762,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2001",8.58880540934392,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2002",8.15014094413739,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2003",7.77407864990305,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2004",7.57457883130665,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2005",7.77637613582098,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2006",7.7442929501022,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2007",7.56323457062532,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2008",7.20963109206364,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2009",7.80967436852187,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2010",7.68480507247396,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2011",7.37105690264163,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2012",7.26097262401765,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2013",7.21059725812895,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2014",6.8254252008226,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2015",6.7970259033002,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2016",6.58339450001432,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","1995",5.23947002844533,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","1996",5.14050863817089,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","1997",5.04461232537333,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","1998",5.29348148476955,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","1999",4.55022411696365,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2000",4.52897669324849,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2001",3.87819482700765,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2002",3.7216092568109,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2003",3.56321499352557,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2004",3.87232700665878,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2005",4.15437446399756,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2006",4.20648856471988,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2007",4.23077871240047,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2008",4.28770550121661,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2009",4.09682978220975,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2010",5.23091518180547,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2011",5.50486274023347,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2012",5.14229968183747,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2013",5.31695344528932,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2014",5.02674463683955,
"GBR","GGEXP","GRALPUBSER","PC_GDP","A","2015",4.54284356424781,
