"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","GGEXP","HEALTH","PC_GDP","A","2005",6.11234404715751,
"JPN","GGEXP","HEALTH","PC_GDP","A","2006",6.07047491106604,
"JPN","GGEXP","HEALTH","PC_GDP","A","2007",6.15505478586886,
"JPN","GGEXP","HEALTH","PC_GDP","A","2008",6.37912396342188,
"JPN","GGEXP","HEALTH","PC_GDP","A","2009",7.09675771857463,
"JPN","GGEXP","HEALTH","PC_GDP","A","2010",7.18253620087702,
"JPN","GGEXP","HEALTH","PC_GDP","A","2011",7.56555900030219,
"JPN","GGEXP","HEALTH","PC_GDP","A","2012",7.66587494837938,
"JPN","GGEXP","HEALTH","PC_GDP","A","2013",7.68832987927077,
"JPN","GGEXP","HEALTH","PC_GDP","A","2014",7.67290163385719,
"JPN","GGEXP","HEALTH","PC_GDP","A","2015",7.66366320304038,
"JPN","GGEXP","HEALTH","PC_GDP","A","2016",7.5584394938172,
"GRC","GGEXP","HEALTH","PC_GDP","A","1995",5.01914813006151,
"GRC","GGEXP","HEALTH","PC_GDP","A","1996",4.94969540406323,
"GRC","GGEXP","HEALTH","PC_GDP","A","1997",4.90793546094874,
"GRC","GGEXP","HEALTH","PC_GDP","A","1998",5.21225200858121,
"GRC","GGEXP","HEALTH","PC_GDP","A","1999",5.59239937586824,
"GRC","GGEXP","HEALTH","PC_GDP","A","2000",5.61780744657604,
"GRC","GGEXP","HEALTH","PC_GDP","A","2001",6.28671972201217,
"GRC","GGEXP","HEALTH","PC_GDP","A","2002",5.96779297101804,
"GRC","GGEXP","HEALTH","PC_GDP","A","2003",5.97860013169208,
"GRC","GGEXP","HEALTH","PC_GDP","A","2004",5.63350984958158,
"GRC","GGEXP","HEALTH","PC_GDP","A","2005",6.17991223173181,
"GRC","GGEXP","HEALTH","PC_GDP","A","2006",5.89640481652769,
"GRC","GGEXP","HEALTH","PC_GDP","A","2007",6.01174261935673,
"GRC","GGEXP","HEALTH","PC_GDP","A","2008",6.45852093796222,
"GRC","GGEXP","HEALTH","PC_GDP","A","2009",6.81333520118993,
"GRC","GGEXP","HEALTH","PC_GDP","A","2010",6.86054980037175,
"GRC","GGEXP","HEALTH","PC_GDP","A","2011",6.46528151693871,
"GRC","GGEXP","HEALTH","PC_GDP","A","2012",5.81996472780409,
"GRC","GGEXP","HEALTH","PC_GDP","A","2013",5.15515059652082,
"GRC","GGEXP","HEALTH","PC_GDP","A","2014",4.68161022007033,
"GRC","GGEXP","HEALTH","PC_GDP","A","2015",4.70472847984528,
"GRC","GGEXP","HEALTH","PC_GDP","A","2016",4.90932040122341,
"NLD","GGEXP","HEALTH","PC_GDP","A","1995",4.68248838557171,
"NLD","GGEXP","HEALTH","PC_GDP","A","1996",4.42364889372506,
"NLD","GGEXP","HEALTH","PC_GDP","A","1997",4.62679449174358,
"NLD","GGEXP","HEALTH","PC_GDP","A","1998",4.54761029178661,
"NLD","GGEXP","HEALTH","PC_GDP","A","1999",4.53345857402035,
"NLD","GGEXP","HEALTH","PC_GDP","A","2000",4.64483957106859,
"NLD","GGEXP","HEALTH","PC_GDP","A","2001",4.79412967101836,
"NLD","GGEXP","HEALTH","PC_GDP","A","2002",5.17423379235618,
"NLD","GGEXP","HEALTH","PC_GDP","A","2003",5.4224761607613,
"NLD","GGEXP","HEALTH","PC_GDP","A","2004",5.40652879539606,
"NLD","GGEXP","HEALTH","PC_GDP","A","2005",5.40550352797236,
"NLD","GGEXP","HEALTH","PC_GDP","A","2006",6.76918497432195,
"NLD","GGEXP","HEALTH","PC_GDP","A","2007",6.64421725858811,
"NLD","GGEXP","HEALTH","PC_GDP","A","2008",6.7324064660274,
"NLD","GGEXP","HEALTH","PC_GDP","A","2009",7.66865863690341,
"NLD","GGEXP","HEALTH","PC_GDP","A","2010",7.75109631453706,
"NLD","GGEXP","HEALTH","PC_GDP","A","2011",7.82906056501102,
"NLD","GGEXP","HEALTH","PC_GDP","A","2012",8.214822823853,
"NLD","GGEXP","HEALTH","PC_GDP","A","2013",8.10961401319983,
"NLD","GGEXP","HEALTH","PC_GDP","A","2014",8.04753112156769,
"NLD","GGEXP","HEALTH","PC_GDP","A","2015",8.02671853079964,
"NLD","GGEXP","HEALTH","PC_GDP","A","2016",7.63252519634016,
"DEU","GGEXP","HEALTH","PC_GDP","A","1995",6.10586240310078,
"DEU","GGEXP","HEALTH","PC_GDP","A","1996",6.21973503883052,
"DEU","GGEXP","HEALTH","PC_GDP","A","1997",6.05127370887961,
"DEU","GGEXP","HEALTH","PC_GDP","A","1998",6.03826124871794,
"DEU","GGEXP","HEALTH","PC_GDP","A","1999",6.06383906086552,
"DEU","GGEXP","HEALTH","PC_GDP","A","2000",6.43809532809193,
"DEU","GGEXP","HEALTH","PC_GDP","A","2001",6.51375094616602,
"DEU","GGEXP","HEALTH","PC_GDP","A","2002",6.66390559863123,
"DEU","GGEXP","HEALTH","PC_GDP","A","2003",6.78178263846348,
"DEU","GGEXP","HEALTH","PC_GDP","A","2004",6.41833508028644,
"DEU","GGEXP","HEALTH","PC_GDP","A","2005",6.50543709743313,
"DEU","GGEXP","HEALTH","PC_GDP","A","2006",6.40873289459939,
"DEU","GGEXP","HEALTH","PC_GDP","A","2007",6.32309816451339,
"DEU","GGEXP","HEALTH","PC_GDP","A","2008",6.4431597273728,
"DEU","GGEXP","HEALTH","PC_GDP","A","2009",7.1129708813631,
"DEU","GGEXP","HEALTH","PC_GDP","A","2010",6.96813252404983,
"DEU","GGEXP","HEALTH","PC_GDP","A","2011",6.79659060641037,
"DEU","GGEXP","HEALTH","PC_GDP","A","2012",6.8174138768644,
"DEU","GGEXP","HEALTH","PC_GDP","A","2013",7.03719429347826,
