"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","PC_GDP","A","2000",1.4780934381057,
"AUS","GDEXPRD","TOT","PC_GDP","A","2002",1.65015462861654,
"AUS","GDEXPRD","TOT","PC_GDP","A","2004",1.73315953077651,
"AUS","GDEXPRD","TOT","PC_GDP","A","2006",2.00684701122891,
"AUS","GDEXPRD","TOT","PC_GDP","A","2008",2.24899110070555,
"AUS","GDEXPRD","TOT","PC_GDP","A","2010",2.18601220885874,
"AUS","GDEXPRD","TOT","PC_GDP","A","2011",2.11778460716195,
"AUS","GDEXPRD","TOT","PC_GDP","A","2013",2.09750616627898,
"AUS","GDEXPRD","TOT","PC_GDP","A","2015",1.8787011841379,
"AUT","GDEXPRD","TOT","PC_GDP","A","2000",1.88602424420832,
"AUT","GDEXPRD","TOT","PC_GDP","A","2001",1.99210448081461,
"AUT","GDEXPRD","TOT","PC_GDP","A","2002",2.06598383788809,
"AUT","GDEXPRD","TOT","PC_GDP","A","2003",2.17455641590277,
"AUT","GDEXPRD","TOT","PC_GDP","A","2004",2.16611664552492,
"AUT","GDEXPRD","TOT","PC_GDP","A","2005",2.37323990476357,
"AUT","GDEXPRD","TOT","PC_GDP","A","2006",2.35922709819809,
"AUT","GDEXPRD","TOT","PC_GDP","A","2007",2.41843231712657,
"AUT","GDEXPRD","TOT","PC_GDP","A","2008",2.5694481629698,
"AUT","GDEXPRD","TOT","PC_GDP","A","2009",2.59673677655242,
"AUT","GDEXPRD","TOT","PC_GDP","A","2010",2.72610057349756,
"AUT","GDEXPRD","TOT","PC_GDP","A","2011",2.66867789645755,
"AUT","GDEXPRD","TOT","PC_GDP","A","2012",2.91471878002482,
"AUT","GDEXPRD","TOT","PC_GDP","A","2013",2.95491836935052,
"AUT","GDEXPRD","TOT","PC_GDP","A","2014",3.06920662546881,
"AUT","GDEXPRD","TOT","PC_GDP","A","2015",3.04770802858007,
"AUT","GDEXPRD","TOT","PC_GDP","A","2016",3.08694737559558,
"BEL","GDEXPRD","TOT","PC_GDP","A","2000",1.92235652396,
"BEL","GDEXPRD","TOT","PC_GDP","A","2001",2.02167505304972,
"BEL","GDEXPRD","TOT","PC_GDP","A","2002",1.89072958114279,
"BEL","GDEXPRD","TOT","PC_GDP","A","2003",1.83183843350027,
"BEL","GDEXPRD","TOT","PC_GDP","A","2004",1.80897958808319,
"BEL","GDEXPRD","TOT","PC_GDP","A","2005",1.78230989306564,
"BEL","GDEXPRD","TOT","PC_GDP","A","2006",1.81426400552742,
"BEL","GDEXPRD","TOT","PC_GDP","A","2007",1.84412552489393,
"BEL","GDEXPRD","TOT","PC_GDP","A","2008",1.92413302156463,
"BEL","GDEXPRD","TOT","PC_GDP","A","2009",1.98537134036219,
"BEL","GDEXPRD","TOT","PC_GDP","A","2010",2.05080518925611,
"BEL","GDEXPRD","TOT","PC_GDP","A","2011",2.15533215881667,
"BEL","GDEXPRD","TOT","PC_GDP","A","2012",2.27333825204174,
"BEL","GDEXPRD","TOT","PC_GDP","A","2013",2.33393425800798,
"BEL","GDEXPRD","TOT","PC_GDP","A","2014",2.38746243048515,
"BEL","GDEXPRD","TOT","PC_GDP","A","2015",2.46610633197698,
"BEL","GDEXPRD","TOT","PC_GDP","A","2016",2.48834620050838,
"CAN","GDEXPRD","TOT","PC_GDP","A","2000",1.86469275567409,
"CAN","GDEXPRD","TOT","PC_GDP","A","2001",2.0283120196755,
"CAN","GDEXPRD","TOT","PC_GDP","A","2002",1.97872633784297,
"CAN","GDEXPRD","TOT","PC_GDP","A","2003",1.97478235484658,
"CAN","GDEXPRD","TOT","PC_GDP","A","2004",2.00416473228975,
"CAN","GDEXPRD","TOT","PC_GDP","A","2005",1.97758971594069,
"CAN","GDEXPRD","TOT","PC_GDP","A","2006",1.94872427216867,
"CAN","GDEXPRD","TOT","PC_GDP","A","2007",1.90857256160027,
"CAN","GDEXPRD","TOT","PC_GDP","A","2008",1.86040124071115,
"CAN","GDEXPRD","TOT","PC_GDP","A","2009",1.92227081758238,
"CAN","GDEXPRD","TOT","PC_GDP","A","2010",1.82958011707869,
"CAN","GDEXPRD","TOT","PC_GDP","A","2011",1.7913228895527,
"CAN","GDEXPRD","TOT","PC_GDP","A","2012",1.77659961992706,
"CAN","GDEXPRD","TOT","PC_GDP","A","2013",1.70980078849832,
"CAN","GDEXPRD","TOT","PC_GDP","A","2014",1.7182339513502,
"CAN","GDEXPRD","TOT","PC_GDP","A","2015",1.64929663528849,
"CAN","GDEXPRD","TOT","PC_GDP","A","2016",1.60407289391434,
"CAN","GDEXPRD","TOT","PC_GDP","A","2017",1.52949775640099,
"CZE","GDEXPRD","TOT","PC_GDP","A","2000",1.11319147362374,
"CZE","GDEXPRD","TOT","PC_GDP","A","2001",1.10333297122737,
"CZE","GDEXPRD","TOT","PC_GDP","A","2002",1.10201801581418,
"CZE","GDEXPRD","TOT","PC_GDP","A","2003",1.14740970444587,
"CZE","GDEXPRD","TOT","PC_GDP","A","2004",1.14558956702555,
"CZE","GDEXPRD","TOT","PC_GDP","A","2005",1.16834767227853,
"CZE","GDEXPRD","TOT","PC_GDP","A","2006",1.23173189747888,
"CZE","GDEXPRD","TOT","PC_GDP","A","2007",1.30227511114896,
"CZE","GDEXPRD","TOT","PC_GDP","A","2008",1.23932721538663,
"CZE","GDEXPRD","TOT","PC_GDP","A","2009",1.29438485969272,
"CZE","GDEXPRD","TOT","PC_GDP","A","2010",1.33688451503913,
"CZE","GDEXPRD","TOT","PC_GDP","A","2011",1.55570685279597,
"CZE","GDEXPRD","TOT","PC_GDP","A","2012",1.78231221218588,
"CZE","GDEXPRD","TOT","PC_GDP","A","2013",1.8997304625429,
"CZE","GDEXPRD","TOT","PC_GDP","A","2014",1.97284723151735,
"CZE","GDEXPRD","TOT","PC_GDP","A","2015",1.92923360393648,
"CZE","GDEXPRD","TOT","PC_GDP","A","2016",1.67829728377641,
"DNK","GDEXPRD","TOT","PC_GDP","A","2001",2.32466465615672,
"DNK","GDEXPRD","TOT","PC_GDP","A","2002",2.4414456512259,
"DNK","GDEXPRD","TOT","PC_GDP","A","2003",2.51084545686761,
"DNK","GDEXPRD","TOT","PC_GDP","A","2004",2.41916299013082,
"DNK","GDEXPRD","TOT","PC_GDP","A","2005",2.39337316334843,
"DNK","GDEXPRD","TOT","PC_GDP","A","2006",2.40300289491517,
"DNK","GDEXPRD","TOT","PC_GDP","A","2007",2.51541281712861,
"DNK","GDEXPRD","TOT","PC_GDP","A","2008",2.7734572321493,
"DNK","GDEXPRD","TOT","PC_GDP","A","2009",3.05514118165565,
"DNK","GDEXPRD","TOT","PC_GDP","A","2010",2.91706563382491,
"DNK","GDEXPRD","TOT","PC_GDP","A","2011",2.9446507412064,
"DNK","GDEXPRD","TOT","PC_GDP","A","2012",2.98124751319524,
"DNK","GDEXPRD","TOT","PC_GDP","A","2013",2.97048158836945,
"DNK","GDEXPRD","TOT","PC_GDP","A","2014",2.91404299995205,
"DNK","GDEXPRD","TOT","PC_GDP","A","2015",2.95741519445437,
"DNK","GDEXPRD","TOT","PC_GDP","A","2016",2.87125319826793,
"FIN","GDEXPRD","TOT","PC_GDP","A","2000",3.24568764121796,
"FIN","GDEXPRD","TOT","PC_GDP","A","2001",3.19794663680359,
"FIN","GDEXPRD","TOT","PC_GDP","A","2002",3.25739929758782,
"FIN","GDEXPRD","TOT","PC_GDP","A","2003",3.30213830004816,
"FIN","GDEXPRD","TOT","PC_GDP","A","2004",3.31493961641122,
"FIN","GDEXPRD","TOT","PC_GDP","A","2005",3.32976451909214,
"FIN","GDEXPRD","TOT","PC_GDP","A","2006",3.33761815379981,
"FIN","GDEXPRD","TOT","PC_GDP","A","2007",3.34576941216825,
"FIN","GDEXPRD","TOT","PC_GDP","A","2008",3.54708380009396,
"FIN","GDEXPRD","TOT","PC_GDP","A","2009",3.74883162366251,
"FIN","GDEXPRD","TOT","PC_GDP","A","2010",3.72597578834848,
"FIN","GDEXPRD","TOT","PC_GDP","A","2011",3.63881159552799,
"FIN","GDEXPRD","TOT","PC_GDP","A","2012",3.41948316507585,
"FIN","GDEXPRD","TOT","PC_GDP","A","2013",3.28718685144931,
"FIN","GDEXPRD","TOT","PC_GDP","A","2014",3.16930609225498,
"FIN","GDEXPRD","TOT","PC_GDP","A","2015",2.8963664815557,
"FIN","GDEXPRD","TOT","PC_GDP","A","2016",2.74645113151321,
"FRA","GDEXPRD","TOT","PC_GDP","A","2000",2.09346097789441,
"FRA","GDEXPRD","TOT","PC_GDP","A","2001",2.13804251722793,
"FRA","GDEXPRD","TOT","PC_GDP","A","2002",2.17449451420776,
"FRA","GDEXPRD","TOT","PC_GDP","A","2003",2.11993720847801,
"FRA","GDEXPRD","TOT","PC_GDP","A","2004",2.09461284410561,
"FRA","GDEXPRD","TOT","PC_GDP","A","2005",2.05150582335969,
"FRA","GDEXPRD","TOT","PC_GDP","A","2006",2.05093799153857,
"FRA","GDEXPRD","TOT","PC_GDP","A","2007",2.02451299604401,
"FRA","GDEXPRD","TOT","PC_GDP","A","2008",2.06116919463155,
"FRA","GDEXPRD","TOT","PC_GDP","A","2009",2.21206518000725,
"FRA","GDEXPRD","TOT","PC_GDP","A","2010",2.17857321921787,
"FRA","GDEXPRD","TOT","PC_GDP","A","2011",2.19161452586975,
"FRA","GDEXPRD","TOT","PC_GDP","A","2012",2.22706582331325,
"FRA","GDEXPRD","TOT","PC_GDP","A","2013",2.23702513096375,
"FRA","GDEXPRD","TOT","PC_GDP","A","2014",2.2759166699616,
"FRA","GDEXPRD","TOT","PC_GDP","A","2015",2.26703077466121,
"FRA","GDEXPRD","TOT","PC_GDP","A","2016",2.24805031751331,
"DEU","GDEXPRD","TOT","PC_GDP","A","2000",2.39165973692168,
"DEU","GDEXPRD","TOT","PC_GDP","A","2001",2.38557698924238,
"DEU","GDEXPRD","TOT","PC_GDP","A","2002",2.41542536289939,
"DEU","GDEXPRD","TOT","PC_GDP","A","2003",2.45660066303917,
"DEU","GDEXPRD","TOT","PC_GDP","A","2004",2.42078815477711,
"DEU","GDEXPRD","TOT","PC_GDP","A","2005",2.42253061898594,
"DEU","GDEXPRD","TOT","PC_GDP","A","2006",2.45603677008252,
"DEU","GDEXPRD","TOT","PC_GDP","A","2007",2.44633323253343,
"DEU","GDEXPRD","TOT","PC_GDP","A","2008",2.59712304917751,
"DEU","GDEXPRD","TOT","PC_GDP","A","2009",2.72644255674151,
"DEU","GDEXPRD","TOT","PC_GDP","A","2010",2.71366586753796,
"DEU","GDEXPRD","TOT","PC_GDP","A","2011",2.79562403714966,
"DEU","GDEXPRD","TOT","PC_GDP","A","2012",2.86812621000196,
"DEU","GDEXPRD","TOT","PC_GDP","A","2013",2.82104519786005,
"DEU","GDEXPRD","TOT","PC_GDP","A","2014",2.87289438596132,
"DEU","GDEXPRD","TOT","PC_GDP","A","2015",2.91695231054819,
"DEU","GDEXPRD","TOT","PC_GDP","A","2016",2.93168224848018,
"GRC","GDEXPRD","TOT","PC_GDP","A","2001",0.55948388830407,
"GRC","GDEXPRD","TOT","PC_GDP","A","2003",0.54653661525485,
"GRC","GDEXPRD","TOT","PC_GDP","A","2004",0.52730333602603,
"GRC","GDEXPRD","TOT","PC_GDP","A","2005",0.57895618448942,
"GRC","GDEXPRD","TOT","PC_GDP","A","2006",0.56118204333542,
"GRC","GDEXPRD","TOT","PC_GDP","A","2007",0.57654971035306,
"GRC","GDEXPRD","TOT","PC_GDP","A","2008",0.66183206722197,
"GRC","GDEXPRD","TOT","PC_GDP","A","2009",0.62556891428918,
"GRC","GDEXPRD","TOT","PC_GDP","A","2010",0.59837691468361,
"GRC","GDEXPRD","TOT","PC_GDP","A","2011",0.67196247740687,
"GRC","GDEXPRD","TOT","PC_GDP","A","2012",0.69956729150887,
"GRC","GDEXPRD","TOT","PC_GDP","A","2013",0.81131209865808,
"GRC","GDEXPRD","TOT","PC_GDP","A","2014",0.83329728914197,
"GRC","GDEXPRD","TOT","PC_GDP","A","2015",0.96636654352381,
"GRC","GDEXPRD","TOT","PC_GDP","A","2016",1.00699621859426,
"HUN","GDEXPRD","TOT","PC_GDP","A","2000",0.78941584893088,
"HUN","GDEXPRD","TOT","PC_GDP","A","2001",0.91188778825062,
"HUN","GDEXPRD","TOT","PC_GDP","A","2002",0.98197884512963,
"HUN","GDEXPRD","TOT","PC_GDP","A","2003",0.91840562773716,
"HUN","GDEXPRD","TOT","PC_GDP","A","2004",0.86034795470587,
"HUN","GDEXPRD","TOT","PC_GDP","A","2005",0.92094461495363,
"HUN","GDEXPRD","TOT","PC_GDP","A","2006",0.98096888245298,
"HUN","GDEXPRD","TOT","PC_GDP","A","2007",0.95673969072065,
"HUN","GDEXPRD","TOT","PC_GDP","A","2008",0.97959706004678,
"HUN","GDEXPRD","TOT","PC_GDP","A","2009",1.13212179073715,
"HUN","GDEXPRD","TOT","PC_GDP","A","2010",1.13944928996016,
"HUN","GDEXPRD","TOT","PC_GDP","A","2011",1.18897027790699,
"HUN","GDEXPRD","TOT","PC_GDP","A","2012",1.26362041375538,
"HUN","GDEXPRD","TOT","PC_GDP","A","2013",1.38889552864893,
"HUN","GDEXPRD","TOT","PC_GDP","A","2014",1.35338728590302,
"HUN","GDEXPRD","TOT","PC_GDP","A","2015",1.36460843412983,
"HUN","GDEXPRD","TOT","PC_GDP","A","2016",1.20606420269495,
"ISL","GDEXPRD","TOT","PC_GDP","A","2000",2.6003964576508,
"ISL","GDEXPRD","TOT","PC_GDP","A","2001",2.87427360177274,
"ISL","GDEXPRD","TOT","PC_GDP","A","2002",2.8551237089888,
"ISL","GDEXPRD","TOT","PC_GDP","A","2003",2.73248923674447,
"ISL","GDEXPRD","TOT","PC_GDP","A","2005",2.70561555442091,
"ISL","GDEXPRD","TOT","PC_GDP","A","2006",2.92237603204434,
