"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GGEXP","TOT","PC_GDP","A","1995",55.8060741611047,
"AUT","GGEXP","TOT","PC_GDP","A","1996",55.6243949300562,
"AUT","GGEXP","TOT","PC_GDP","A","1997",52.27210394706,
"AUT","GGEXP","TOT","PC_GDP","A","1998",52.2242426288898,
"AUT","GGEXP","TOT","PC_GDP","A","1999",52.0615197660953,
"AUT","GGEXP","TOT","PC_GDP","A","2000",51.0329883250733,
"AUT","GGEXP","TOT","PC_GDP","A","2001",51.3557052104913,
"AUT","GGEXP","TOT","PC_GDP","A","2002",51.0543046642687,
"AUT","GGEXP","TOT","PC_GDP","A","2003",51.2709905691504,
"AUT","GGEXP","TOT","PC_GDP","A","2004",53.7051142847075,
"AUT","GGEXP","TOT","PC_GDP","A","2005",51.1555228390606,
"AUT","GGEXP","TOT","PC_GDP","A","2006",50.3799335721589,
"AUT","GGEXP","TOT","PC_GDP","A","2007",49.2441121401072,
"AUT","GGEXP","TOT","PC_GDP","A","2008",49.8739846837189,
"AUT","GGEXP","TOT","PC_GDP","A","2009",54.1448005065337,
"AUT","GGEXP","TOT","PC_GDP","A","2010",52.8397855413296,
"AUT","GGEXP","TOT","PC_GDP","A","2011",50.8969148481795,
"AUT","GGEXP","TOT","PC_GDP","A","2012",51.213027812319,
"AUT","GGEXP","TOT","PC_GDP","A","2013",51.6476665446164,
"AUT","GGEXP","TOT","PC_GDP","A","2014",52.3340926099723,
"AUT","GGEXP","TOT","PC_GDP","A","2015",50.982801778044,
"AUT","GGEXP","TOT","PC_GDP","A","2016",50.7033375779217,
"BEL","GGEXP","TOT","PC_GDP","A","1995",52.3862112375352,
"BEL","GGEXP","TOT","PC_GDP","A","1996",52.6665444118432,
"BEL","GGEXP","TOT","PC_GDP","A","1997",51.2366535719328,
"BEL","GGEXP","TOT","PC_GDP","A","1998",50.5605792325118,
"BEL","GGEXP","TOT","PC_GDP","A","1999",50.0684611793994,
"BEL","GGEXP","TOT","PC_GDP","A","2000",49.051978530102,
"BEL","GGEXP","TOT","PC_GDP","A","2001",49.1880006802404,
"BEL","GGEXP","TOT","PC_GDP","A","2002",49.5064986434121,
"BEL","GGEXP","TOT","PC_GDP","A","2003",50.7144689380176,
"BEL","GGEXP","TOT","PC_GDP","A","2004",48.9330148089724,
"BEL","GGEXP","TOT","PC_GDP","A","2005",51.6278370930086,
"BEL","GGEXP","TOT","PC_GDP","A","2006",48.4509528347488,
