"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2009",16071.63,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2010",16042.44,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2011",16572.97,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2012",16026.28,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2013",17562.38,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2014",17503.98,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2015",17679.18,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2016",17699.32,"E"
"AUT","GGEXP","TOT","THND_USD_CAP","A","2009",22160.48,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2010",22223.77,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2011",22633.45,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2012",23802.6,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2013",24758.19,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2014",25541.64,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2015",25476.2,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2016",25572.4,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2017",25715.29,
"AUT","GGEXP","TOT","PC_GDP","A","1995",55.8060741611047,
"AUT","GGEXP","TOT","PC_GDP","A","1996",55.6243949300562,
"AUT","GGEXP","TOT","PC_GDP","A","1997",52.27210394706,
"AUT","GGEXP","TOT","PC_GDP","A","1998",52.2242426288898,
"AUT","GGEXP","TOT","PC_GDP","A","1999",52.0615197660953,
"AUT","GGEXP","TOT","PC_GDP","A","2000",51.0329883250733,
"AUT","GGEXP","TOT","PC_GDP","A","2001",51.3557052104913,
"AUT","GGEXP","TOT","PC_GDP","A","2002",51.0543046642687,
"AUT","GGEXP","TOT","PC_GDP","A","2003",51.2709905691504,
"AUT","GGEXP","TOT","PC_GDP","A","2004",53.7051142847075,
"AUT","GGEXP","TOT","PC_GDP","A","2005",51.1555228390606,
"AUT","GGEXP","TOT","PC_GDP","A","2006",50.3799335721589,
"AUT","GGEXP","TOT","PC_GDP","A","2007",49.2441121401072,
"AUT","GGEXP","TOT","PC_GDP","A","2008",49.8739846837189,
"AUT","GGEXP","TOT","PC_GDP","A","2009",54.1448005065337,
"AUT","GGEXP","TOT","PC_GDP","A","2010",52.8397855413296,
"AUT","GGEXP","TOT","PC_GDP","A","2011",50.8969148481795,
"AUT","GGEXP","TOT","PC_GDP","A","2012",51.213027812319,
"AUT","GGEXP","TOT","PC_GDP","A","2013",51.6476665446164,
"AUT","GGEXP","TOT","PC_GDP","A","2014",52.3340926099723,
"AUT","GGEXP","TOT","PC_GDP","A","2015",50.982801778044,
"AUT","GGEXP","TOT","PC_GDP","A","2016",50.7033375779217,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2009",20579.08,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2010",21384.31,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2011",22570.8,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2012",23790.45,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2013",24425.49,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2014",24710.8,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2015",24532.6,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2016",24815.65,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2017",25108.4,
"BEL","GGEXP","TOT","PC_GDP","A","1995",52.3862112375352,
"BEL","GGEXP","TOT","PC_GDP","A","1996",52.6665444118432,
"BEL","GGEXP","TOT","PC_GDP","A","1997",51.2366535719328,
"BEL","GGEXP","TOT","PC_GDP","A","1998",50.5605792325118,
"BEL","GGEXP","TOT","PC_GDP","A","1999",50.0684611793994,
"BEL","GGEXP","TOT","PC_GDP","A","2000",49.051978530102,
"BEL","GGEXP","TOT","PC_GDP","A","2001",49.1880006802404,
"BEL","GGEXP","TOT","PC_GDP","A","2002",49.5064986434121,
"BEL","GGEXP","TOT","PC_GDP","A","2003",50.7144689380176,
"BEL","GGEXP","TOT","PC_GDP","A","2004",48.9330148089724,
"BEL","GGEXP","TOT","PC_GDP","A","2005",51.6278370930086,
"BEL","GGEXP","TOT","PC_GDP","A","2006",48.4509528347488,
"BEL","GGEXP","TOT","PC_GDP","A","2007",48.249077129492,
"BEL","GGEXP","TOT","PC_GDP","A","2008",50.2807810636382,
"BEL","GGEXP","TOT","PC_GDP","A","2009",54.1501818762542,
"BEL","GGEXP","TOT","PC_GDP","A","2010",53.3413128713875,
"BEL","GGEXP","TOT","PC_GDP","A","2011",54.4525638323605,
"BEL","GGEXP","TOT","PC_GDP","A","2012",55.8655081637398,
"BEL","GGEXP","TOT","PC_GDP","A","2013",55.8348146173292,
"BEL","GGEXP","TOT","PC_GDP","A","2014",55.2371853709358,
"BEL","GGEXP","TOT","PC_GDP","A","2015",53.8297133372574,
"BEL","GGEXP","TOT","PC_GDP","A","2016",53.2559567859759,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2009",17221.78,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2010",17614.79,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2011",17658.03,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2012",17626.92,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2013",18085.2,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2014",17866.87,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2015",18164.03,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2016",18583.66,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2017",19163.88,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2009",12141.36,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2010",12001.96,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2011",12392.2,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2012",12921.97,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2013",12992.09,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2014",13691.35,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2015",13960.21,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2016",13706.15,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2017",14136.89,
"CZE","GGEXP","TOT","PC_GDP","A","1995",52.9287142904869,
"CZE","GGEXP","TOT","PC_GDP","A","1996",41.7732747744924,
"CZE","GGEXP","TOT","PC_GDP","A","1997",41.9540772696525,
"CZE","GGEXP","TOT","PC_GDP","A","1998",42.0802100644385,
"CZE","GGEXP","TOT","PC_GDP","A","1999",41.3626903470675,
"CZE","GGEXP","TOT","PC_GDP","A","2000",40.9646493874698,
